"Location","lon","lat"
"Abbeville, LA",-92.1342921,29.9746502
"Aberdeen, MS",-88.5436553,33.8251139
"Accomack County, VA",-75.8069082,37.7063323
"Aguas Buenas, PR",-66.1050908,18.257252
"Aiken, SC",-81.7195533,33.5604168
"Akron, OH",-81.5190053,41.0814447
"Albion, MI",-84.7530304,42.243097
"Albuquerque, NM",-106.6055534,35.0853336
"Alma, AL",-87.7538838,31.4640524
"Alturas, CA",-120.5424555,41.4871146
"Amarillo, TX",-101.8312969,35.2219971
"Anchorage, AK",-149.9002778,61.2180556
"Anderson County, TX",-95.6457951,31.776932
"Anniston, AL",-85.8316318,33.6598257
"Antioch, CA",-121.805789,38.0049214
"Apache Junction, AZ",-111.5495777,33.4150485
"Ardmore, OK",-97.1436254,34.1742611
"Arlington, TX",-97.1080656,32.735687
"Arlington, VA",-77.1067698,38.8799697
"Aroostook County, ME",-68.4766064,46.819941
"Ashville, PA",-78.5486289,40.5600684
"Atlanta, GA",-84.3879824,33.7489954
"Auburn, WA",-122.2284532,47.3073228
"Aurora, CO",-104.8319195,39.7294319
"Aurora, IL",-88.3200715,41.7605849
"Avondale, AZ",-112.3496021,33.4355977
"Baker, LA",-91.168163,30.5882429
"Bakersfield, CA",-119.0187125,35.3732921
"Baltimore, MD",-76.6121893,39.2903848
"Bamberg, SC",-81.0348202,33.2971012
"Banning, CA",-116.8764103,33.9255713
"Barberton, OH",-81.6051221,41.012833
"Barre, VT",-72.5020494,44.1970055
"Baton Rouge, LA",-91.1403196,30.4582829
"Beaumont, TX",-94.1265562,30.080174
"Bell, FL",-82.8626239,29.7555125
"Belle Glade, FL",-80.6675577,26.6845104
"Bellflower, CA",-118.1170117,33.8816818
"Beloit, WI",-89.0317765,42.5083482
"Bennettsville, SC",-79.6847814,34.6173803
"Berkeley, MO",-90.3312256,38.7544952
"Birmingham, AL",-86.80249,33.5206608
"Blytheville, AR",-89.9189753,35.9272953
"Bogalusia, LA",-89.8486858,30.7910204
"Boston, MA",-71.0588801,42.3600825
"Bradenton, FL",-82.5748194,27.4989278
"Breaux Bridge, LA",-91.8992837,30.2735323
"Brentwood, CA",-121.6957863,37.931868
"Bridgeport, CT",-73.1951767,41.1865478
"Bristol, TN",-82.1887444,36.5951059
"Broad Ripple, IN",-86.1340693,39.8686846
"Brockton, MA",-71.0183787,42.0834335
"Brookhaven, MS",-90.4406506,31.5790588
"Brooklyn Center, MN",-93.3327283,45.076076
"Brooklyn, NY",-73.9441579,40.6781784
"Brooksville, FL",-82.3878709,28.5552719
"Brownsville, TX",-97.4974838,25.9017472
"Buffalo, NY",-78.8783689,42.8864468
"Cabarrus County, NC",-80.5882803,35.4168123
"Cadiz, KY",-87.835295,36.8650496
"Calais, ME",-67.2786038,45.1889633
"Callison, SC",-82.1256771,34.0145697
"Calumet City, IL",-87.5294871,41.6155909
"Camden, NJ",-75.1196199,39.9259463
"Camp Spring, MD",-76.9066396,38.8040027
"Campbell, OH",-80.5992396,41.0783918
"Canton, OH",-81.378447,40.7989473
"Capitol Heights, MD",-76.9158068,38.8851122
"Cartersville, GA",-84.7999382,34.1650972
"Centreville, IL",-90.125109,38.5833842
"Channelview, TX",-95.1146533,29.7760599
"Charenton, LA",-91.5251126,29.8815936
"Charleston, SC",-79.9310512,32.7764749
"Charlotte, NC",-80.8431267,35.2270869
"Chattanooga, TN",-85.3096801,35.0456297
"Chester Township, PA",-75.4024228,39.8517618
"Chester, PA",-75.3557457,39.849557
"Chesterfield County, SC",-80.1428584,34.6830936
"Chicago, IL",-87.6297982,41.8781136
"Cincinnati, OH",-84.5120196,39.1031182
"Clairton, PA",-79.881715,40.292292
"Clarksburg, WV",-80.3445341,39.2806451
"Clarksville, TN",-87.3594528,36.5297706
"Cleveland, OH",-81.6943605,41.49932
"Coachella, CA",-116.173894,33.6803003
"Cobb County, GA",-84.564147,33.8999297
"Colorado Springs, CO",-104.8213634,38.8338816
"Columbia, MO",-92.3340724,38.9517053
"Columbia, SC",-81.0348144,34.0007104
"Columbia, TN",-87.0352831,35.6150716
"Columbus, GA",-84.9877094,32.4609764
"Columbus, MO",-93.8907751,38.8586209
"Columbus, MS",-88.4272627,33.4956744
"Columbus, OH",-82.9987942,39.9611755
"Compton, CA",-118.2200712,33.8958492
"Conway, SC",-79.0478143,33.8360034
"Conyers, GA",-84.0176904,33.6676103
"Corpus Christi, TX",-97.396381,27.8005828
"Crockett County, TN",-89.1324866,35.7812386
"Culpeper, VA",-77.9962512,38.4729632
"Cypress, TX",-95.6937856,29.9716905
"Dallas, TX",-96.7969879,32.7766642
"Danville, IL",-87.6300207,40.124481
"Darien, IL",-87.9737943,41.7483483
"Darlington, SC",-79.8761741,34.2998762
"Davenport, IA",-90.5776367,41.5236437
"Dayton, OH",-84.1916069,39.7589478
"Daytona Beach, FL",-81.0228331,29.2108147
"DeKalb County, GA",-84.2278796,33.7956441
"DeKalb, GA",-84.2278796,33.7956441
"Decatur, IL",-88.9548001,39.8403147
"Deer Lodge, MT",-112.7383721,46.3990941
"Defiance, OH",-84.3557802,41.2844933
"Denton, TX",-97.1330683,33.2148412
"Denver, CO",-104.990251,39.7392358
"Des Moines, IA",-93.6091064,41.6005448
"Detroit, MI",-83.0457538,42.331427
"Dillon County, SC",-79.4253776,34.3596012
"Dinwiddie, VA",-77.5857056,37.0774889
"Double Springs, AL",-87.4022386,34.1464916
"Douglasville, GA",-84.7477136,33.7514966
"Durham, NC",-78.898619,35.9940329
"E. Palo Alto, CA",-122.1410751,37.4688273
"East Germantown, PA",-75.1691305,40.0428157
"East Liverpool, OH",-80.5772928,40.6186756
"East Orange, NJ",-74.2048677,40.767323
"East St. Louis, IL",-90.1506465,38.624514
"Eden, TX",-99.8456277,31.216276
"El Paso, TX",-106.4424559,31.7775757
"Elburn, IL",-88.4723014,41.8922499
"Elgin, IL",-88.2825668,42.0354084
"Elizabeth, NJ",-74.2107006,40.6639916
"Elkhart, IN",-85.9766671,41.6819935
"Elmhurst, IL",-87.9403418,41.8994744
"Englewood, IL",-87.6416419,41.775305
"Erie, OH",-82.4752757,41.4349882
"Erie, PA",-80.085059,42.1292241
"Erwin, TN",-82.4168055,36.1451082
"Evansville, IN",-87.5710898,37.9715592
"Fairfield, CA",-122.0399663,38.2493581
"Farmington, NM",-108.2186856,36.7280583
"Fayette County, GA",-84.4802606,33.4502206
"Fayetteville, NC",-78.8783585,35.0526641
"Federal Way, WA",-122.3126222,47.3223221
"Fernley, NV",-119.2518349,39.6079683
"Flagstaff, AZ",-111.651302,35.1982836
"Flint, MI",-83.6874562,43.0125274
"Florence, AL",-87.677251,34.79981
"Florida City, FL",-80.4792237,25.4478898
"Fontana, CA",-117.435048,34.0922335
"Forest, MS",-89.4742348,32.3645888
"Forsyth County, GA",-84.1435136,34.2358502
"Fort Bend County, TX",-95.8142885,29.5692614
"Fort Lauderdale, FL",-80.1373174,26.1224386
"Fort Meyers, FL",-81.8723084,26.640628
"Fort Pierce, FL",-80.3256056,27.4467056
"Fort Wayne, IN",-85.1393513,41.079273
"Fort Worth, TX",-97.3307658,32.7554883
"Four Oaks, NC",-78.4269489,35.4448836
"Franklin, IL",-90.0440001,39.6203259
"Frayser, TN",-90.0466559,35.203847
"Fremont, OH",-83.1218634,41.3503303
"Fresno, CA",-119.7725868,36.7468422
"Fruitland Township, MI",-86.357952,43.3295527
"Fuquay-Varina, NC",-78.8000128,35.5843235
"Galt, CA",-121.2999485,38.2546373
"Gary, IN",-87.3464271,41.5933696
"Gastonia, NC",-81.1873005,35.262082
"Gates, NY",-77.6992407,43.1497793
"Gentilly, LA",-90.0606637,30.014503
"Gila Bend, AZ",-112.7168305,32.9478236
"Glade Spring, VA",-81.7712324,36.791225
"Grand Rapids, MI",-85.6680863,42.9633599
"Granger, WA",-120.1872727,46.3420741
"Greenacres, FL",-80.1353896,26.6276276
"Greensboro, NC",-79.7919754,36.0726354
"Greensburg, KY",-85.4988548,37.2608936
"Greenville, GA",-84.7129848,33.0287373
"Greenville, NC",-77.3663538,35.612661
"Greenwood, SC",-82.1617883,34.1954001
"Guilderland, NY",-73.9116433,42.7043568
"Habersham County, GA",-83.5496566,34.6478893
